name,category,prerequisite,asiOptions,fullDetails
Mounted Combatant,General Feat,Level 4+,"str,dex","Mounted Combatant
General Feat (Level 4+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Mounted Combatant."
Observant,General Feat,"Level 4+, Intelligence or Wisdom 13+","int,wis","Observant
General Feat (Level 4+, Intelligence or Wisdom 13+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Observant."
Piercer,General Feat,Level 4+,"str,dex","Piercer
General Feat (Level 4+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Piercer."
Poisoner,General Feat,Level 4+,"dex,int","Poisoner
General Feat (Level 4+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Poisoner."
Polearm Master,General Feat,"Level 4+, Strength or Dexterity 13+","str,dex","Polearm Master
General Feat (Level 4+, Strength or Dexterity 13+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Polearm Master."
Resilient,General Feat,Level 4+,"str,dex,con,int,wis,cha","Resilient
General Feat (Level 4+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Resilient."
Ritual Caster,General Feat,"Level 4+, Intelligence, Wisdom, or Charisma 13+","int,wis,cha","Ritual Caster
General Feat (Level 4+, Intelligence, Wisdom, or Charisma 13+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Ritual Caster."
Sentinel,General Feat,"Level 4+, Strength or Dexterity 13+","str,dex","Sentinel
General Feat (Level 4+, Strength or Dexterity 13+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Sentinel."
Shadow-Touched,General Feat,Level 4+,"int,wis,cha","Shadow-Touched
General Feat (Level 4+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Shadow-Touched."
Sharpshooter,General Feat,"Level 4+, Dexterity 13+",dex,"Sharpshooter
General Feat (Level 4+, Dexterity 13+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Sharpshooter."
Shield Master,General Feat,"Level 4+, Shield Proficiency",str,"Shield Master
General Feat (Level 4+, Shield Proficiency)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Shield Master."
Skill Expert,General Feat,Level 4+,"str,dex,con,int,wis,cha","Skill Expert
General Feat (Level 4+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Skill Expert."
Skulker,General Feat,"Level 4+, Dexterity 13+",dex,"Skulker
General Feat (Level 4+, Dexterity 13+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Skulker."
Slasher,General Feat,Level 4+,"str,dex","Slasher
General Feat (Level 4+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Slasher."
Speedy,General Feat,"Level 4+, Constitution or Dexterity 13+","con,dex","Speedy
General Feat (Level 4+, Constitution or Dexterity 13+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Speedy."
Spell Sniper,General Feat,"Level 4+, Spellcasting feature","int,wis,cha","Spell Sniper
General Feat (Level 4+, Spellcasting feature)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Spell Sniper."
Telekinetic,General Feat,Level 4+,"int,wis,cha","Telekinetic
General Feat (Level 4+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Telekinetic."
War Caster,General Feat,"Level 4+, Spellcasting feature","int,wis,cha","War Caster
General Feat (Level 4+, Spellcasting feature)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for War Caster."
Weapon Master,General Feat,Level 4+,"str,dex","Weapon Master
General Feat (Level 4+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Weapon Master."
Archery,Fighting Style Feat,Fighting Style Feature,,"Archery
Fighting Style Feat (Fighting Style Feature)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Archery."
Blind Fighting,Fighting Style Feat,Fighting Style Feature,,"Blind Fighting
Fighting Style Feat (Fighting Style Feature)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Blind Fighting."
Defense,Fighting Style Feat,Fighting Style Feature,,"Defense
Fighting Style Feat (Fighting Style Feature)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Defense."
Dueling,Fighting Style Feat,Fighting Style Feature,,"Dueling
Fighting Style Feat (Fighting Style Feature)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Dueling."
Great Weapon Fighting,Fighting Style Feat,Fighting Style Feature,,"Great Weapon Fighting
Fighting Style Feat (Fighting Style Feature)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Great Weapon Fighting."
Interception,Fighting Style Feat,Fighting Style Feature,,"Interception
Fighting Style Feat (Fighting Style Feature)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Interception."
Protection,Fighting Style Feat,Fighting Style Feature,,"Protection
Fighting Style Feat (Fighting Style Feature)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Protection."
Thrown Weapon Fighting,Fighting Style Feat,Fighting Style Feature,,"Thrown Weapon Fighting
Fighting Style Feat (Fighting Style Feature)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Thrown Weapon Fighting."
Two-Weapon Fighting,Fighting Style Feat,Fighting Style Feature,,"Two-Weapon Fighting
Fighting Style Feat (Fighting Style Feature)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Two-Weapon Fighting."
Unarmed Fighting,Fighting Style Feat,Fighting Style Feature,,"Unarmed Fighting
Fighting Style Feat (Fighting Style Feature)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Unarmed Fighting."
Boon of Combat Prowess,Epic Boon Feat,Level 19+,"str,dex,con,int,wis,cha","Boon of Combat Prowess
Epic Boon Feat (Level 19+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Boon of Combat Prowess."
Boon of Dimensional Travel,Epic Boon Feat,Level 19+,"str,dex,con,int,wis,cha","Boon of Dimensional Travel
Epic Boon Feat (Level 19+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Boon of Dimensional Travel."
Boon of Energy Resistance,Epic Boon Feat,Level 19+,"str,dex,con,int,wis,cha","Boon of Energy Resistance
Epic Boon Feat (Level 19+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Boon of Energy Resistance."
Boon of Fate,Epic Boon Feat,Level 19+,"str,dex,con,int,wis,cha","Boon of Fate
Epic Boon Feat (Level 19+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Boon of Fate."
Boon of Fortitude,Epic Boon Feat,Level 19+,"str,dex,con,int,wis,cha","Boon of Fortitude
Epic Boon Feat (Level 19+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Boon of Fortitude."
Boon of Irresistible Offense,Epic Boon Feat,Level 19+,"str,dex","Boon of Irresistible Offense
Epic Boon Feat (Level 19+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Boon of Irresistible Offense."
Boon of Recovery,Epic Boon Feat,Level 19+,con,"Boon of Recovery
Epic Boon Feat (Level 19+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Boon of Recovery."
Boon of Skill,Epic Boon Feat,Level 19+,"str,dex,con,int,wis,cha","Boon of Skill
Epic Boon Feat (Level 19+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Boon of Skill."
Boon of Speed,Epic Boon Feat,Level 19+,dex,"Boon of Speed
Epic Boon Feat (Level 19+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Boon of Speed."
Boon of Spell Recall,Epic Boon Feat,Level 19+,"int,wis,cha","Boon of Spell Recall
Epic Boon Feat (Level 19+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Boon of Spell Recall."
Boon of the Night Spirit,Epic Boon Feat,Level 19+,"dex,int,wis,cha","Boon of the Night Spirit
Epic Boon Feat (Level 19+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Boon of the Night Spirit."
Boon of Truesight,Epic Boon Feat,Level 19+,"wis,cha","Boon of Truesight
Epic Boon Feat (Level 19+)
You gain special benefits and tactical enhancements as detailed in PHB 2024 for Boon of Truesight."
